"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Julio Jones",9300,"Ind@Atl 01:00PM ET",26.544,"Atl"
"WR","DeAndre Hopkins",8800,"NYJ@Hou 01:00PM ET",24.411,"Hou"
"RB","Devonta Freeman",8400,"Ind@Atl 01:00PM ET",26.678,"Atl"
"WR","Dez Bryant",7700,"Dal@Mia 01:00PM ET",11.725,"Dal"
"WR","A.J. Green",7700,"Cin@Ari 08:30PM ET",17.878,"Cin"
"RB","Todd Gurley",7600,"StL@Bal 01:00PM ET",20.300,"StL"
"QB","Aaron Rodgers",7500,"GB@Min 04:25PM ET",22.878,"GB"
"WR","Demaryius Thomas",7300,"Den@Chi 01:00PM ET",18.178,"Den"
"WR","Mike Evans",7300,"TB@Phi 01:00PM ET",15.400,"TB"
"WR","Larry Fitzgerald",7200,"Cin@Ari 08:30PM ET",21.956,"Ari"
"WR","Calvin Johnson",7200,"Oak@Det 01:00PM ET",16.444,"Det"
"QB","Matt Ryan",7100,"Ind@Atl 01:00PM ET",18.042,"Atl"
"WR","Brandon Marshall",7000,"NYJ@Hou 01:00PM ET",20.144,"NYJ"
"WR","Emmanuel Sanders",7000,"Den@Chi 01:00PM ET",15.544,"Den"
"QB","Philip Rivers",6900,"KC@SD 04:05PM ET",23.391,"SD"
"QB","Cam Newton",6900,"Was@Car 01:00PM ET",22.898,"Car"
"RB","Adrian Peterson",6800,"GB@Min 04:25PM ET",19.211,"Min"
"RB","Matt Forte",6800,"Den@Chi 01:00PM ET",17.671,"Chi"
"WR","Alshon Jeffery",6800,"Den@Chi 01:00PM ET",21.700,"Chi"
"WR","Amari Cooper",6800,"Oak@Det 01:00PM ET",17.289,"Oak"
"QB","Carson Palmer",6700,"Cin@Ari 08:30PM ET",23.618,"Ari"
"RB","Marshawn Lynch",6700,"SF@Sea 04:25PM ET",12.243,"Sea"
"QB","Andrew Luck",6700,"Ind@Atl 01:00PM ET",21.406,"Ind"
"WR","Randall Cobb",6700,"GB@Min 04:25PM ET",14.756,"GB"
"WR","Jarvis Landry",6700,"Dal@Mia 01:00PM ET",18.129,"Mia"
"QB","Andy Dalton",6600,"Cin@Ari 08:30PM ET",21.469,"Cin"
"QB","Derek Carr",6300,"Oak@Det 01:00PM ET",21.260,"Oak"
"TE","Greg Olsen",6200,"Was@Car 01:00PM ET",16.378,"Car"
"WR","T.Y. Hilton",6200,"Ind@Atl 01:00PM ET",14.922,"Ind"
"RB","Lamar Miller",6200,"Dal@Mia 01:00PM ET",18.333,"Mia"
"RB","Chris Ivory",6100,"NYJ@Hou 01:00PM ET",17.863,"NYJ"
"QB","Tony Romo",6000,"Dal@Mia 01:00PM ET",17.570,"Dal"
"WR","Michael Crabtree",6000,"Oak@Det 01:00PM ET",17.178,"Oak"
"RB","DeMarco Murray",6000,"TB@Phi 01:00PM ET",17.488,"Phi"
"WR","Jordan Matthews",6000,"TB@Phi 01:00PM ET",13.689,"Phi"
"QB","Peyton Manning",5900,"Den@Chi 01:00PM ET",12.422,"Den"
"QB","Russell Wilson",5900,"SF@Sea 04:25PM ET",16.802,"Sea"
"TE","Tyler Eifert",5900,"Cin@Ari 08:30PM ET",15.889,"Cin"
