2,"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
3,"Tom Brady, NE QB",Buf,Mon 8:30,25.4/40.8,283,2.8,0.7,2.8,3.5,0.1,0,0,0,21.2
4,"Derek Carr, Oak QB",@Det,Sun 1:00,23.7/35.8,297.5,2.7,0.6,1.8,5.1,0,0,0,0,20.3
5,"Carson Palmer, Ari QB",Cin,Sun 8:30,24.1/36.9,316.2,2.3,0.9,1.7,2.7,0.1,0,0,0,19.5
6,"Devonta Freeman, Atl RB",Ind,Sun 1:00,0/0,0,0,0,22.7,95.5,0.9,5.1,46.4,0.2,19.4
7,"Cam Newton, Car QB",Wsh,Sun 1:00,16.8/27.6,202,1.5,0.8,8.9,44.1,0.4,0,0,0,18.5
8,"Matthew Stafford, Det QB",Oak,Sun 1:00,27.1/42.2,306.3,2.1,1,1.9,6.2,0.1,0,0,0,18.2
9,"Aaron Rodgers, GB QB  P",@Min,Sun 4:25,21.9/36,263.9,2,0.5,3.3,18,0.1,0,0,0,18.1
10,"Blake Bortles, Jax QB",Ten,W 19-13,21.8/35.5,262.4,2.2,1,3.4,19.5,0.1,0,0,0,17.8
11,"Andy Dalton, Cin QB",@Ari,Sun 8:30,22.4/35.6,270.8,2,1,3.8,11.1,0.2,0,0,0,17.7
12,"Philip Rivers, SD QB",KC,Sun 4:05,23.5/38.7,288.6,2.2,1.2,1.3,2.8,0,0,0,0,17.3
13,"Charcandrick West, KC RB",@SD,Sun 4:05,0/0,0,0,0,17.3,82.3,0.9,3.3,25.8,0.2,16.4
14,"Russell Wilson, Sea QB",SF,Sun 4:25,18.2/28.6,221.9,1.2,0.6,6.4,40.5,0.2,0,0,0,16.2
15,"Adrian Peterson, Min RB  P",GB,Sun 4:25,0/0,0,0,0,22.7,105.2,0.8,1.8,14.7,0.1,16
16,"Darren McFadden, Dal RB  Q",@Mia,Sun 1:00,0/0,0,0,0,23,90.2,0.7,3.4,29.3,0.2,16
17,"Tony Romo, Dal QB",@Mia,Sun 1:00,20.8/32.7,267.9,1.9,0.7,1.7,4.5,0,0,0,0,15.9
18,"Matt Ryan, Atl QB",Ind,Sun 1:00,25.7/38.4,296.2,1.6,0.8,2.8,8.8,0.1,0,0,0,15.9
19,"Tyrod Taylor, Buf QB",@NE,Mon 8:30,19.1/31.5,220.1,1.3,0.8,6.7,33,0.2,0,0,0,15.3
20,"Ryan Fitzpatrick, NYJ QB  P",@Hou,Sun 1:00,21.4/33.9,241.1,1.7,1.1,4.2,18.4,0.2,0,0,0,15.3
21,"DeMarco Murray, Phi RB",TB,Sun 1:00,0/0,0,0,0,19.9,83.9,0.8,3.3,25.6,0.1,15.1
22,"Matt Hasselbeck, Ind QB",@Atl,Sun 1:00,26.5/41.8,290.7,1.8,1.3,2.2,6.5,0.1,0,0,0,15.1
23,"Alex Smith, KC QB",@SD,Sun 4:05,20.2/32.5,220,1.3,0.5,4,21.6,0.2,0,0,0,14.9
24,"Ryan Tannehill, Mia QB",Dal,Sun 1:00,23.4/35,255.1,1.3,0.7,2.5,11.9,0.1,0,0,0,14.7
25,"Joe Flacco, Bal QB",StL,Sun 1:00,24.4/37.8,279.9,1.3,0.8,1.9,4.1,0.1,0,0,0,14.4
26,"Marshawn Lynch, Sea RB  Q",SF,Sun 4:25,0/0,0,0,0,20,93.6,0.6,2,16,0.1,14
27,"Todd Gurley, StL RB",@Bal,Sun 1:00,0/0,0,0,0,17.6,74.4,0.7,2.8,22,0.1,13.6
28,"Julio Jones, Atl WR",Ind,Sun 1:00,0/0,0,0,0,0,0,0,8.1,104.4,0.6,13.5
29,"Mark Sanchez, Phi QB",TB,Sun 1:00,22.7/36.5,257.6,1.5,1.2,2.3,6.8,0.1,0,0,0,13.2
30,"Marcus Mariota, Ten QB",@Jax,L 13-19,20.6/32.4,236.5,1.3,0.8,2.8,18.5,0.1,0,0,0,13.2
31,"Jonathan Stewart, Car RB",Wsh,Sun 1:00,0/0,0,0,0,21.1,106.8,0.5,0.9,6.4,0,13.1
32,"Larry Fitzgerald, Ari WR  P",Cin,Sun 8:30,0/0,0,0,0,0,0,0,7,97.4,0.7,13
33,"T.J. Yates, Hou QB",NYJ,Sun 1:00,22.6/38.4,284,1.5,1.6,2.1,6.4,0,0,0,0,13
34,Seahawks D/ST D/ST,SF,Sun 4:25,0/0,0,0,0,0,0,0,0,0,0,12.9
35,"Jay Cutler, Chi QB",Den,Sun 1:00,20.5/33.2,232,1.2,1.1,2.9,13.4,0.1,0,0,0,12.6
36,"Lamar Miller, Mia RB",Dal,Sun 1:00,0/0,0,0,0,14,64.7,0.5,4.3,33.4,0.1,12.5
37,"LeGarrette Blount, NE RB",Buf,Mon 8:30,0/0,0,0,0,17.9,85.9,0.7,1,7.3,0.1,12.3
38,"Latavius Murray, Oak RB",@Det,Sun 1:00,0/0,0,0,0,17.7,77,0.6,2.1,17.7,0.1,12.3
39,"Calvin Johnson, Det WR  P",Oak,Sun 1:00,0/0,0,0,0,0,0,0,5.8,83,0.7,12.2
40,"Michael Crabtree, Oak WR",@Det,Sun 1:00,0/0,0,0,0,0,0,0,5.9,82.4,0.7,12.1
