Name,NewPts,Salary,Position,teamAbbrev
Derek Carr,20.3,6300,QB,Oak
Carson Palmer,19.5,6700,QB,Ari
Devonta Freeman,19.4,8400,RB,Atl
Cam Newton,18.5,6900,QB,Car
Matthew Stafford,18.2,5400,QB,Det
Aaron Rodgers,18.1,7500,QB,GB
Andy Dalton,17.7,6600,QB,Cin
Philip Rivers,17.3,6900,QB,SD
Charcandrick West,16.4,4500,RB,KC
Russell Wilson,16.2,5900,QB,Sea
Adrian Peterson,16,6800,RB,Min
Darren McFadden,16,5000,RB,Dal
Matt Ryan,15.9,7100,QB,Atl
Tony Romo,15.9,6000,QB,Dal
Ryan Fitzpatrick,15.3,5000,QB,NYJ
DeMarco Murray,15.1,6000,RB,Phi
Matt Hasselbeck,15.1,5500,QB,Ind
Alex Smith,14.9,5000,QB,KC
Ryan Tannehill,14.7,5100,QB,Mia
Joe Flacco,14.4,5300,QB,Bal
Marshawn Lynch,14,6700,RB,Sea
Todd Gurley,13.6,7600,RB,StL
Julio Jones,13.5,9300,WR,Atl
Mark Sanchez,13.2,5000,QB,Phi
Jonathan Stewart,13.1,4400,RB,Car
Larry Fitzgerald,13,7200,WR,Ari
T.J. Yates,13,5000,QB,Hou
Seahawks ,12.9,4000,DST,Sea
Jay Cutler,12.6,5100,QB,Chi
Lamar Miller,12.5,6200,RB,Mia
Latavius Murray,12.3,5600,RB,Oak
Calvin Johnson,12.2,7200,WR,Det
Michael Crabtree,12.1,6000,WR,Oak
Kirk Cousins,12,5300,QB,Was
DeAndre Hopkins,11.9,8800,WR,Hou
Brock Osweiler,11.7,5000,QB,Den
Dez Bryant,11.6,7700,WR,Dal
Justin Forsett,11.6,5800,RB,Bal
A.J. Green,11.5,7700,WR,Cin
Jeremy Langford,11.5,5600,RB,Chi
Jameis Winston,11.5,5000,QB,TB
Chris Ivory,11.3,6100,RB,NYJ
Teddy Bridgewater,11.1,5000,QB,Min
Broncos ,10.7,3900,DST,Den
Chris Johnson,10.6,4700,RB,Ari
Brandon Marshall,10.5,7000,WR,NYJ
Frank Gore,10.4,4700,RB,Ind
Amari Cooper,10.2,6800,WR,Oak
Randall Cobb,10,6700,WR,GB
Mike Evans,9.9,7300,WR,TB
Stevie Johnson,9.9,3900,WR,SD
Blaine Gabbert,9.5,5000,QB,SF
Jarvis Landry,9.2,6700,WR,Mia
Eric Decker,9.1,5800,WR,NYJ
Greg Olsen,9,6200,TE,Car
Doug Martin,8.9,5300,RB,TB
Demaryius Thomas,8.8,7300,WR,Den
Danny Woodhead,8.8,5300,RB,SD
Giovani Bernard,8.7,4500,RB,Cin
Case Keenum,8.6,5000,QB,StL
John Brown,8.5,5200,WR,Ari
Antonio Gates,8.4,4800,TE,SD
Davante Adams,8.4,4600,WR,GB
Jordan Matthews,8.3,6000,WR,Phi
T.Y. Hilton,8.2,6200,WR,Ind
Tyler Eifert,8.2,5900,TE,Cin
Golden Tate,8.1,4600,WR,Det
Jeremy Maclin,8,5000,WR,KC
Emmanuel Sanders,7.8,7000,WR,Den
Panthers ,7.7,3400,DST,Car
Eagles ,7.7,3100,DST,Phi
James Starks,7.6,5300,RB,GB
Jimmy Graham,7.5,4900,TE,Sea
Marvin Jones,7.5,4300,WR,Cin
Rams ,7.5,3600,DST,StL
Jason Witten,7.4,5100,TE,Dal
Vincent Jackson,7.3,4700,WR,TB
Darren Sproles,7.3,3400,RB,Phi
Melvin Gordon,7.2,3900,RB,SD
Joique Bell,7.2,3300,RB,Det
Jordan Reed,7.1,4900,TE,Was
Travis Kelce,7.1,4700,TE,KC
Anquan Boldin,7.1,4000,WR,SF
Coby Fleener,6.9,3200,TE,Ind
Zach Ertz,6.9,3100,TE,Phi
Tavon Austin,6.8,4600,WR,StL
Martellus Bennett,6.8,4200,TE,Chi
Ronnie Hillman,6.8,3900,RB,Den
Nate Washington,6.7,4400,WR,Hou
Packers ,6.7,3100,DST,GB
Kamar Aiken,6.6,4800,WR,Bal
Matt Jones,6.6,4000,RB,Was
Pierre Garcon,6.5,4300,WR,Was
Jeremy Hill,6.4,5000,RB,Cin
Stefon Diggs,6.4,5000,WR,Min
Jamison Crowder,6.4,3800,WR,Was
Cowboys ,6.4,2400,DST,Dal
C.J. Anderson,6.3,3700,RB,Den
Eric Ebron,6.3,3500,TE,Det
Jets ,6.3,3000,DST,NYJ
DeSean Jackson,6.2,5100,WR,Was
James Jones,6,5000,WR,GB
Terrance Williams,6,4100,WR,Dal
Alfred Blue,6,3800,RB,Hou
Ted Ginn Jr.,6,3500,WR,Car
Donte Moncrief,5.8,4700,WR,Ind
Jacob Tamme,5.8,3600,TE,Atl
Theo Riddick,5.8,3300,RB,Det
Falcons ,5.7,3400,DST,Atl
Dontrelle Inman,5.7,3000,WR,SD
Dolphins ,5.7,2500,DST,Mia
Leonard Hankerson,5.5,3300,WR,Atl
Bilal Powell,5.4,3000,RB,NYJ
Cecil Shorts III,5.4,3000,WR,Hou
Ravens ,5.4,2700,DST,Bal
Rishard Matthews,5.3,4700,WR,Mia
Cardinals ,5.3,3500,DST,Ari
Doug Baldwin,5.3,3500,WR,Sea
Marquess Wilson,5.3,3500,WR,Chi
Richard Rodgers,5.3,3100,TE,GB
Shaun Draughn,5.1,3800,RB,SF
Chris Givens,5.1,3200,WR,Bal
Kenny Stills,5,3000,WR,Mia
Chiefs ,5,2600,DST,KC
Texans ,4.9,2500,DST,Hou
Chargers ,4.9,2300,DST,SD
Charles Sims,4.8,3300,RB,TB
Torrey Smith,4.7,3600,WR,SF
Jonathan Grimes,4.7,3000,RB,Hou
Javontee Herndon,4.7,3000,WR,SD
Raiders ,4.7,2600,DST,Oak
Michael Floyd,4.6,3800,WR,Ari
Vikings ,4.5,2300,DST,Min
Eddie Lacy,4.4,4800,RB,GB
Andre Johnson,4.4,3700,WR,Ind
Devin Funchess,4.4,3600,WR,Car
Crockett Gillmore,4.4,3300,TE,Bal
Bengals ,4.4,3000,DST,Cin
Lance Moore,4.4,3000,WR,Det
Buccaneers ,4.4,2300,DST,TB
Colts ,4.4,2000,DST,Ind
Mike Wallace,4.3,3500,WR,Min
Jordan Cameron,4.3,2500,TE,Mia
Dwayne Allen,4.3,2500,TE,Ind
Ryan Griffin,4.2,5000,QB,TB
Andre Ellington,4.2,3700,RB,Ari
Javorius Allen,4.2,3300,RB,Bal
49ers ,4.2,2100,DST,SF
Jermaine Kearse,4.1,3300,WR,Sea
Joshua Bellamy,4.1,3000,WR,Chi
Ka'Deem Carey,4.1,3000,RB,Chi
Tyler Lockett,4.1,3000,WR,Sea
Vernon Davis,4.1,2500,TE,Den
Alfred Morris,4,3900,RB,Was
Roddy White,4,3400,WR,Atl
Nelson Agholor,4,3300,WR,Phi
Clive Walford,3.9,2500,TE,Oak
Seth Roberts,3.8,3000,WR,Oak
Kenny Britt,3.7,3400,WR,StL
Jay Ajayi,3.6,3200,RB,Mia
Mohamed Sanu,3.6,3000,WR,Cin
Vance McDonald,3.6,2500,TE,SF
Bears ,3.6,2000,DST,Chi
Mychal Rivera,3.5,2500,TE,Oak
Jaron Brown,3.4,3000,WR,Ari
Zach Miller,3.2,2900,TE,Chi
Darren Fells,3.2,2500,TE,Ari
Cole Beasley,3,3300,WR,Dal
Jerricho Cotchery,3,3000,WR,Car
Marc Mariani,3,3000,WR,Chi
Kenbrell Thompkins,3,3000,WR,NYJ
Tre Mason,3,3000,RB,StL
Kyle Rudolph,3,2900,TE,Min
Jermaine Gresham,3,2500,TE,Ari
Albert Wilson,2.9,3000,WR,KC
Marlon Brown,2.8,3500,WR,Bal
Riley Cooper,2.8,3000,WR,Phi
Lions ,2.8,2200,DST,Det
Jared Cook,2.7,2500,TE,StL
Maxx Williams,2.7,2500,TE,Bal
Chris Thompson,2.6,3200,RB,Was
Brian Quick,2.6,3000,WR,StL
Kyle Juszczyk,2.6,3000,RB,Bal
Redskins ,2.6,2100,DST,Was
Garrett Celek,2.5,2500,TE,SF
Wes Welker,2.4,3000,WR,StL
Jerome Simpson,2.4,3000,WR,SF
Marcel Reece,2.3,3400,RB,Oak
Mike Tolbert,2.3,3000,RB,Car
Travaris Cadet,2.3,3000,RB,SF
Spencer Ware,2.2,3000,RB,KC
De'Anthony Thomas,2.2,3000,WR,KC
John Phillips,2,2500,TE,SD
David Johnson,1.9,3400,RB,Ari
Josh Huff,1.9,3000,WR,Phi
David Johnson,1.9,2500,TE,SD
Tevin Coleman,1.8,3400,RB,Atl
Griff Whalen,1.8,3200,WR,Ind
Andre Holmes,1.8,3000,WR,Oak
Justin Perillo,1.8,2700,TE,GB
Dion Sims,1.8,2500,TE,Mia
Thomas Rawls,1.7,3800,RB,Sea
Ameer Abdullah,1.7,3400,RB,Det
Chris Polk,1.6,3200,RB,Hou
Ahmad Bradshaw,1.6,3000,RB,Ind
Taiwan Jones,1.6,3000,RB,Oak
Jarius Wright,1.6,3000,WR,Min
Owen Daniels,1.6,2700,TE,Den
Ed Dickson,1.6,2500,TE,Car
Miles Austin,1.5,3000,WR,Phi
Kendall Gaskins,1.5,3000,RB,SF
Lance Kendricks,1.5,2500,TE,StL
Luke Willson,1.5,2500,TE,Sea
Derek Carrier,1.5,2500,TE,Was
Charles Johnson,1.4,3000,WR,Min
Bennie Fowler,1.4,3000,WR,Den
Cameron Meredith,1.4,3000,WR,Chi
Jeremy Butler,1.4,3000,WR,Bal
Brandon Myers,1.4,2500,TE,TB
MyCole Pruitt,1.4,2500,TE,Min
Greg Jennings,1.3,3000,WR,Mia
Jason Avant,1.3,3000,WR,KC
Donteea Dye,1.3,3000,WR,TB
Cameron Brate,1.3,2500,TE,TB
Nick Boyle,1.3,2500,TE,Bal
Jamize Olawale,0.9,3000,RB,Oak
Matt Asiata,0.7,3000,RB,Min
Lee Smith,0.6,2500,TE,Oak
Jeremy Kerley,0.5,3000,WR,NYJ
Keith Mumphery,0.5,3000,WR,Hou
Brandon Pettigrew,0.5,2500,TE,Det
Jack Doyle,0.5,2500,TE,Ind
C.J. Fiedorowicz,0.5,2500,TE,Hou
Donald Brown,0.4,3000,RB,SD
Fozzy Whittaker,0.4,3000,RB,Car
Brenton Bersin,0.4,3000,WR,Car
J.J. Nelson,0.4,3000,WR,Ari
Jerick McKinnon,0.4,3000,RB,Min
Brent Celek,0.4,2900,TE,Phi
James Hanna,0.4,2500,TE,Dal
Gavin Escobar,0.4,2500,TE,Dal
Fred Jackson,0.3,3000,RB,Sea
Jeremy Ross,0.3,3000,WR,Bal
Rod Smith,0.3,3000,RB,Dal
Corey Fuller,0.3,3000,WR,Det
Quan Bray,0.3,3000,WR,Ind
Bruce Ellington,0.3,3000,WR,SF
Jeff Cumberland,0.3,2500,TE,NYJ
Luke Stocker,0.3,2500,TE,TB
Rhett Ellison,0.3,2500,TE,Min
Ryan Hewitt,0.3,2500,TE,Cin
Demetrius Harris,0.3,2500,TE,KC
Andre Caldwell,0.2,3000,WR,Den
Eric Weems,0.2,3000,WR,Atl
Stevan Ridley,0.2,3000,RB,NYJ
Bobby Rainey,0.2,3000,RB,TB
Devin Smith,0.2,3000,WR,NYJ
Cordarrelle Patterson,0.2,3000,WR,Min
Damien Williams,0.2,3000,RB,Mia
Lucky Whitehead,0.2,3000,WR,Dal
Virgil Green,0.2,2500,TE,Den
Levine Toilolo,0.2,2500,TE,Atl
Quinton Patton,0.1,3200,WR,SF
John Kuhn,0.1,3000,RB,GB
Brandon Tate,0.1,3000,WR,Cin
Darrel Young,0.1,3000,RB,Was
Antone Smith,0.1,3000,RB,Chi
Bruce Miller,0.1,3000,RB,SF
Anthony Sherman,0.1,3000,RB,KC
Patrick DiMarco,0.1,3000,RB,Atl
Knile Davis,0.1,3000,RB,KC
Rex Burkhead,0.1,3000,RB,Cin
Devin Street,0.1,3000,WR,Dal
Chris Matthews,0.1,3000,WR,Sea
Juwan Thompson,0.1,3000,RB,Den
Michael Burton,0.1,3000,RB,Det
Justin Hardy,0.1,3000,WR,Atl
Terron Ward,0.1,3000,RB,Atl
Chris Conley,0.1,3000,WR,KC
Rashad Ross,0.1,3000,WR,Was
Adam Humphries,0.1,3000,WR,TB
Jeff Janis,0.1,3000,WR,GB
Kellen Davis,0.1,2500,TE,NYJ
Tony Moeaki,0.1,2500,TE,Atl
Blake Bell,0.1,2500,TE,SF
Matt Forte,0,6800,RB,Chi
Alshon Jeffery,0,6800,WR,Chi
Matt Cassel,0,5000,QB,Dal
Charlie Whitehurst,0,5000,QB,Ind
Tarvaris Jackson,0,5000,QB,Sea
Derek Anderson,0,5000,QB,Car
Dan Orlovsky,0,5000,QB,Det
Kellen Clemens,0,5000,QB,SD
Shaun Hill,0,5000,QB,Min
Matt Moore,0,5000,QB,Mia
Drew Stanton,0,5000,QB,Ari
Matt Schaub,0,5000,QB,Bal
Joe Webb,0,5000,QB,Car
Chase Daniel,0,5000,QB,KC
Colt McCoy,0,5000,QB,Was
Scott Tolzien,0,5000,QB,GB
Thaddeus Lewis,0,5000,QB,Phi
Jimmy Clausen,0,5000,QB,Chi
Nick Foles,0,5000,QB,StL
Sean Renfree,0,5000,QB,Atl
Mike Glennon,0,5000,QB,TB
Matt McGloin,0,5000,QB,Oak
Matt Barkley,0,5000,QB,Ari
Aaron Murray,0,5000,QB,KC
Bryce Petty,0,5000,QB,NYJ
AJ McCarron,0,5000,QB,Cin
Geno Smith,0,5000,QB,NYJ
Trevor Siemian,0,5000,QB,Den
Sean Mannion,0,5000,QB,StL
Brett Hundley,0,5000,QB,GB
Tyler Clutts,0,3000,RB,Dal
Cedric Peerman,0,3000,RB,Cin
Seyi Ajirotutu,0,3000,WR,Phi
Jorvorskie Lane,0,3000,RB,TB
Jordan Norwood,0,3000,WR,Den
Andre Roberts,0,3000,WR,Was
Chase Reynolds,0,3000,RB,StL
Deonte Thompson,0,3000,WR,Chi
George Winn,0,3000,RB,Det
Kenjon Barner,0,3000,RB,Phi
Zach Line,0,3000,RB,Min
Derrick Coleman,0,3000,RB,Sea
Ladarius Green,0,3000,TE,SD
Russell Shepard,0,3000,WR,TB
Zurlon Tipton,0,3000,RB,Ind
Tommy Bohanon,0,3000,RB,NYJ
Ryan Grant,0,3000,WR,Was
Bryce Brown,0,3000,RB,Sea
